Course Instance,Student id,Status,Grade,Course code
I-1494,19860309-0002,completed,3.0,1127
I-3997,19860309-0002,completed,4.0,1122
I-658,19860309-0002,completed,3.0,1263
I-1499,19860309-0002,completed,4.0,1040
I-1496,19860309-0002,completed,4.0,1271
I-433,19860309-0002,completed,3.0,1155
I-1500,19860309-0002,completed,4.0,1282
I-1289,19860309-0002,completed,4.0,1104
I-1074,19860309-0002,completed,4.0,1199
I-1607,19860309-0002,completed,3.0,1295
I-871,19860309-0002,completed,3.0,1061
I-1608,19860309-0002,completed,5.0,1243
I-3697,19860309-0002,completed,5.0,1015
I-1922,19850305-0003,completed,5.0,1195
I-1199,19850305-0003,completed,5.0,1010
I-1924,19850305-0003,completed,3.0,1297
I-2658,19850305-0003,completed,3.0,1156
I-2037,19850305-0003,completed,5.0,1240
I-2038,19850305-0003,completed,5.0,1198
I-2040,19850305-0003,completed,3.0,1165
I-2041,19850305-0003,completed,4.0,1079
I-2039,19850305-0003,completed,5.0,1282
I-2044,19850305-0003,completed,5.0,1137
I-2993,19850305-0003,completed,4.0,1085
I-5074,19850305-0003,completed,5.0,1018
I-1204,19850305-0003,completed,3.0,1285
I-2042,19850305-0003,completed,3.0,1291
I-2156,19850305-0003,completed,3.0,1236
I-2157,19850305-0003,completed,5.0,1109
I-2159,19850305-0003,completed,4.0,1189
I-153,19850305-0003,completed,3.0,1060
I-4834,19860211-0004,completed,5.0,1240
I-2956,19860211-0004,completed,5.0,1176
I-4623,19860211-0004,completed,3.0,1228
I-2119,19860211-0004,completed,5.0,1026
I-2957,19860211-0004,completed,3.0,1298
I-1385,19860211-0004,completed,4.0,1087
I-2966,19860211-0004,completed,3.0,1029
I-2965,19860211-0004,completed,5.0,1064
I-2964,19860211-0004,completed,4.0,1074
I-1694,19860211-0004,completed,4.0,1128
I-3576,19880122-0005,completed,5.0,1184
I-3578,19880122-0005,completed,3.0,1055
I-327,19880122-0005,completed,5.0,1171
I-3582,19880122-0005,completed,4.0,1052
I-4011,19880122-0005,completed,4.0,1258
I-342,19880122-0005,completed,3.0,1106
I-238,19880122-0005,completed,5.0,1103
I-1923,19880122-0005,completed,3.0,1010
I-2636,19850603-0006,completed,3.0,1046
I-2637,19850603-0006,completed,3.0,1232
I-2638,19850603-0006,completed,5.0,1107
